linux_symbol	kind	linux_source	rust_symbol	rust_path	rust_visibility	rust_parity	status	notes
__folio_put	export	vendor/linux/mm/swap.c;vendor/linux/include/linux/mm.h	__folio_put	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_rmap_sanity_checks	inline	vendor/linux/include/linux/rmap.h	__folio_rmap_sanity_checks	src/mm/rmap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_start_writeback	export	vendor/linux/mm/page-writeback.c;vendor/linux/include/linux/page-flags.h	__folio_start_writeback	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_throttle_swaprate	prototype	vendor/linux/include/linux/swap.h	__folio_throttle_swaprate	src/mm/swap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_try_dup_anon_rmap	inline	vendor/linux/include/linux/rmap.h	__folio_try_dup_anon_rmap	src/mm/rmap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_try_share_anon_rmap	inline	vendor/linux/include/linux/rmap.h	__folio_try_share_anon_rmap	src/mm/rmap.rs	pub	complete	complete	exact name exists in a complete parity file
__free_pages	export	vendor/linux/mm/page_alloc.c	__free_pages	src/mm/page_alloc.rs	pub	complete	complete	exact name exists in a complete parity file
__generic_file_write_iter	export	vendor/linux/mm/filemap.c	__generic_file_write_iter	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__get_huge_page_for_hwpoison	prototype	vendor/linux/include/linux/mm.h	__get_huge_page_for_hwpoison	src/mm/huge.rs	pub	complete	complete	exact name exists in a complete parity file
__get_vm_area_caller	prototype	vendor/linux/include/linux/vmalloc.h	__get_vm_area_caller	src/mm/vmalloc.rs	pub	complete	complete	exact name exists in a complete parity file
__hugetlb_zap_begin	prototype	vendor/linux/include/linux/hugetlb.h	__hugetlb_zap_begin	src/mm/huge.rs	pub	complete	complete	exact name exists in a complete parity file
__hugetlb_zap_end	prototype	vendor/linux/include/linux/hugetlb.h	__hugetlb_zap_end	src/mm/huge.rs	pub	complete	complete	exact name exists in a complete parity file
__hwasan_loadN_noabort	export	vendor/linux/mm/kasan/sw_tags.c	__hwasan_loadN_noabort	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__hwasan_memcpy	export	vendor/linux/mm/kasan/shadow.c	__hwasan_memcpy	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__hwasan_memmove	export	vendor/linux/mm/kasan/shadow.c	__hwasan_memmove	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__hwasan_memset	export	vendor/linux/mm/kasan/shadow.c	__hwasan_memset	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__hwasan_storeN_noabort	export	vendor/linux/mm/kasan/sw_tags.c	__hwasan_storeN_noabort	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__hwasan_tag_memory	export	vendor/linux/mm/kasan/sw_tags.c	__hwasan_tag_memory	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__inc_node_page_state	export	vendor/linux/mm/vmstat.c	__inc_node_page_state	src/mm/vmstat.rs	pub	complete	complete	exact name exists in a complete parity file
