linux_symbol	kind	linux_source
clear_page_pfmemalloc	inline	vendor/linux/include/linux/mm.h
clear_pages	inline	vendor/linux/include/linux/mm.h
clear_vma_resv_huge_pages	prototype	vendor/linux/include/linux/hugetlb.h
cma_alloc	export	vendor/linux/mm/cma.c
cma_get_name	export	vendor/linux/mm/cma.c
cma_release	export	vendor/linux/mm/cma.c
collect_procs_ksm	inline	vendor/linux/include/linux/ksm.h
compat_set_desc_from_vma	export	vendor/linux/mm/util.c
compat_vma_mmap	export	vendor/linux/mm/util.c
compound_info_has_mask	inline	vendor/linux/include/linux/page-flags.h
compound_nr	inline	vendor/linux/include/linux/mm.h
compound_order	inline	vendor/linux/include/linux/mm.h
contig_page_data	export	vendor/linux/mm/memblock.c
copy_from_kernel_nofault	export	vendor/linux/mm/maccess.c
copy_from_user_nofault	export	vendor/linux/mm/maccess.c
copy_hugetlb_page_range	inline	vendor/linux/include/linux/hugetlb.h
copy_pte_marker	inline	vendor/linux/include/linux/mm_inline.h
copy_remote_vm_str	export	vendor/linux/mm/memory.c;vendor/linux/mm/nommu.c;vendor/linux/include/linux/mm.h
copy_to_user_nofault	export	vendor/linux/mm/maccess.c
count_mthp_stat	inline	vendor/linux/include/linux/huge_mm.h
count_swap_pages	prototype	vendor/linux/include/linux/swap.h
cpu_pid_to_cpupid	inline	vendor/linux/include/linux/mm.h
cpupid_cpu_unset	inline	vendor/linux/include/linux/mm.h
cpupid_match_pid	inline	vendor/linux/include/linux/mm.h
cpupid_pid_unset	inline	vendor/linux/include/linux/mm.h
cpupid_to_cpu	inline	vendor/linux/include/linux/mm.h
cpupid_to_nid	inline	vendor/linux/include/linux/mm.h
cpupid_to_pid	inline	vendor/linux/include/linux/mm.h
current_is_kswapd	inline	vendor/linux/include/linux/swap.h
debug_guardpage_enabled	inline	vendor/linux/include/linux/mm.h
debug_guardpage_minorder	inline	vendor/linux/include/linux/mm.h
debug_pagealloc_enabled	inline	vendor/linux/include/linux/mm.h
debug_pagealloc_enabled_static	inline	vendor/linux/include/linux/mm.h
debug_pagealloc_map_pages	inline	vendor/linux/include/linux/mm.h
debug_pagealloc_unmap_pages	inline	vendor/linux/include/linux/mm.h
dec_mm_counter	inline	vendor/linux/include/linux/mm.h
dec_node_page_state	export	vendor/linux/mm/vmstat.c
dec_tlb_flush_pending	inline	vendor/linux/include/linux/mm_inline.h
dec_zone_page_state	export	vendor/linux/mm/vmstat.c
deferred_split_folio	prototype	vendor/linux/include/linux/huge_mm.h
detach_page_private	inline	vendor/linux/include/linux/pagemap.h
devm_memremap_pages	export	vendor/linux/mm/memremap.c;vendor/linux/include/linux/memremap.h
devm_memunmap_pages	export	vendor/linux/mm/memremap.c;vendor/linux/include/linux/memremap.h
dir_pages	inline	vendor/linux/include/linux/pagemap.h
dirty_writeback_interval	export	vendor/linux/mm/page-writeback.c
disable_mmiotrace	prototype	vendor/linux/include/linux/mmiotrace.h
dissolve_free_hugetlb_folio	prototype	vendor/linux/include/linux/hugetlb.h
dissolve_free_hugetlb_folios	inline	vendor/linux/include/linux/hugetlb.h
dma_pool_alloc	export	vendor/linux/mm/dmapool.c
dma_pool_create_node	export	vendor/linux/mm/dmapool.c
dma_pool_destroy	export	vendor/linux/mm/dmapool.c
dma_pool_free	export	vendor/linux/mm/dmapool.c
dmam_pool_create	export	vendor/linux/mm/dmapool.c
dmam_pool_destroy	export	vendor/linux/mm/dmapool.c
do_huge_pmd_anonymous_page	prototype	vendor/linux/include/linux/huge_mm.h
do_huge_pmd_device_private	prototype	vendor/linux/include/linux/huge_mm.h
do_huge_pmd_numa_page	prototype	vendor/linux/include/linux/huge_mm.h
do_huge_pmd_wp_page	prototype	vendor/linux/include/linux/huge_mm.h
do_madvise	prototype	vendor/linux/include/linux/mm.h
do_migrate_pages	inline	vendor/linux/include/linux/mempolicy.h
do_mmap	prototype	vendor/linux/include/linux/mm.h
do_mseal	prototype	vendor/linux/include/linux/mm.h
do_munmap	prototype	vendor/linux/include/linux/mm.h
do_set_pmd	prototype	vendor/linux/include/linux/mm.h
do_vmi_munmap	prototype	vendor/linux/include/linux/mm.h
drop_slab	prototype	vendor/linux/include/linux/mm.h
dump_mm	export	vendor/linux/mm/debug.c;vendor/linux/include/linux/mmdebug.h
dump_page	export	vendor/linux/mm/debug.c;vendor/linux/include/linux/mmdebug.h
dump_vma	export	vendor/linux/mm/debug.c;vendor/linux/include/linux/mmdebug.h
dump_vmg	export	vendor/linux/mm/debug.c;vendor/linux/include/linux/mmdebug.h
dup_anon_vma_name	inline	vendor/linux/include/linux/mm_inline.h
early_pfn_to_nid	prototype	vendor/linux/include/linux/mm.h
early_section	inline	vendor/linux/include/linux/mmzone.h
empty_zero_page	export	vendor/linux/mm/mm_init.c
enable_mmiotrace	prototype	vendor/linux/include/linux/mmiotrace.h
encode_nr_pages	inline	vendor/linux/include/linux/mm_types.h
encode_page	inline	vendor/linux/include/linux/mm_types.h
encoded_nr_pages	inline	vendor/linux/include/linux/mm_types.h
encoded_page_flags	inline	vendor/linux/include/linux/mm_types.h
encoded_page_ptr	inline	vendor/linux/include/linux/mm_types.h
end_page_writeback	export	vendor/linux/mm/folio-compat.c;vendor/linux/include/linux/pagemap.h
exit_mmap	prototype	vendor/linux/include/linux/mm.h
expand_stack_locked	prototype	vendor/linux/include/linux/mm.h
fadvise64	syscall	vendor/linux/mm/fadvise.c
fadvise64_64	syscall	vendor/linux/mm/fadvise.c
fault_flag_allow_retry_first	inline	vendor/linux/include/linux/mm.h
fault_in_readable	export	vendor/linux/mm/gup.c;vendor/linux/include/linux/pagemap.h
fault_in_safe_writeable	export	vendor/linux/mm/gup.c;vendor/linux/include/linux/pagemap.h
fault_in_subpage_writeable	export	vendor/linux/mm/gup.c;vendor/linux/include/linux/pagemap.h
fault_in_writeable	export	vendor/linux/mm/gup.c;vendor/linux/include/linux/pagemap.h
fgf_set_order	inline	vendor/linux/include/linux/pagemap.h
file_check_and_advance_wb_err	export	vendor/linux/mm/filemap.c
file_fdatawait_range	export	vendor/linux/mm/filemap.c
file_ra_state_init	export	vendor/linux/mm/readahead.c
file_sample_sb_err	inline	vendor/linux/include/linux/pagemap.h
file_write_and_wait_range	export	vendor/linux/mm/filemap.c
filemap_add_folio	export	vendor/linux/mm/filemap.c
filemap_alloc_folio_noprof	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h
filemap_check_errors	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h
filemap_check_wb_err	inline	vendor/linux/include/linux/pagemap.h
filemap_dirty_folio	export	vendor/linux/mm/page-writeback.c
filemap_fault	export	vendor/linux/mm/filemap.c;vendor/linux/mm/nommu.c;vendor/linux/include/linux/mm.h
filemap_fdatawait	inline	vendor/linux/include/linux/pagemap.h
filemap_fdatawait_keep_errors	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h
filemap_fdatawait_range	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h
